Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"Abegg, Waldemar",14.6.1873,Berlin,17.7.1961,3;1974 ,Hamburg-Blankenese,"ABEGG, Curt Wilhelm Waldemar, geb. 14.6.1873 Berlin, gest. 17.7.1961 Hamburg-Blankenese; begr. Friedhof in Sülfeld; ev. – höherer Verwaltungsbeamter, Regierungspräsident.",116001038,,,9783529025624.pdf (wachholtz-verlag.de)
Abel,1218,,29.6.1252,1;1970,bei Husum,"ABEL, geb. 1218, gest. 29.6.1252 bei Husum; Herzog von Jütland (von 1232 bis 1252), König von Dänemark (von 1250 bis 1252).",136583717,,,https://files.wachholtz-verlag.de/openaccess/9783529025624.pdf#page=4
"ABRAHAMSON, Werner Hans Friedrich (Fredrich, Frederik), (Ps.: Hans Johansen, H.J., H., N., Q., Q. v., H.B.)",10.4.1744,Schleswig,22.9.1812,1;1970,Kopenhagen,"ABRAHAMSON, Werner Hans Friedrich (Fredrich, Frederik), (Ps.: Hans Johansen, H.J., H., N., Q., Q. v., H.B.); geb. 10.4.1744 Schleswig, gest. 22.9.1812 Kopenhagen; ev. – Offizier, Schriftsteller, Herausgeber, Übersetzer.",124390420,,,
"ACHELIUS, Johann Jakob",13.2.1797,Lübeck,14.4.1870,13;2011,ebd.,"ACHELIUS, Johann Jakob, geb. 13.2.1797 Lübeck, gest. 14.4.1870 ebd.; ev. – Glaser.",119107028X,,,
"ACHTEN, Govert van (Gubertt, Gebhart, Geborchart)",,,,6;1982,,"ACHTEN, Govert van (Gubertt, Gebhart, Geborchart), gest. zwischen 1616 u. 1618 Tönning. – Maler.",118981153,,,
"Achten, Marten van",,,,6;1982,,"ACHTEN, Marten van, tätig zwischen 1588 u. 1610. – Maler.",118981145,,,https://files.wachholtz-verlag.de/openaccess/9783529025624.pdf#page=9
ACHTRUP,,,,1;1970,,"ACHTRUP, Flensburger Bürgermeisterfamilie, erwähnt von 1400 bis 1451. (Claus, Peter, Bertold und Hinrich Achtrup).",,,,
"Ackermann, Ernst Wilhelm",14.10.1821,Königsberg,14.6.1846,6;1982,Neapel,"ACKERMANN, Ernst Wilhelm, geb. 14.10.1821 Königsberg, gest. 14.6.1846 Neapel; ev. – Dichter.",138348375,,,
"Ackermann, Johann Friedrich",3.2.1726,Waldkirchen,4.6.1804,2;1971,Kiel,"ACKERMANN, Johann Friedrich, geb. 3.2.1726 Waldkirchen, Vogtland, gest. 4.6.1804 Kiel; ev. – Prof. d. Medizin u. Physik.",142244430,,,
"Adalbert I., Bremen, Erzbischof",,,16.3.1072,1;1970,Goslar,"ADALBERT I., geb. um 1000, gest. 16.3.1072 Goslar. Erzbischof von Hamburg-Bremen (von 1043 bis 1072).",118500503,,,
ADALAG,,,,1;1970,,"ADALAG, geb. um 900, gest. 28. oder 29.4.988. Erzbischof von Hamburg-Bremen (937–988).",,,,
"ADAM, Karl Hermann",25.10.1867,Putschlau,9.9.1929,1;1970,Kiel,"ADAM, Karl Hermann, geb. 25.10.1867 Putschlau, Krs. Glogau, Schlesien, gest. 9.9.1929 Kiel; Kaufmann, Pionier d. deutsch. Konsumgenossenschaftsbewegung, Gewerkschaftler, Kommunal- u. Landespolitiker.",,,,
"ADICKES, Erich Friedrich Wilhelm Theodor Ernst Ludwig",29.6.1866,Lesum b. Bremen,8.7.1928,2;1971,Tübingen,"ADICKES, Erich Friedrich Wilhelm Theodor Ernst Ludwig, geb. 29.6.1866 Lesum b. Bremen, gest. 8.7.1928 Tübingen; ev. – Philosoph.",11600780X,,,
"Adler, Eduard",20.4.1861,Berlin,,1;1970,,"ADLER, Eduard, geb. 20.4.1861 Berlin, gest. Berlin, vermutlich 1940; Dissident – Journalist, Politiker, Beamter.",116007982,,,
"Adler, Hermann Friedrich",8.11.1841,Lübeck,21.2.1921,2;1971,Schleswig,"ADLER, Hermann Friedrich, geb. 8.11.1841 Lübeck, gest. 21.2.1921 Schleswig; ev. – Nervenarzt, Entomologe.",1062748484,,,
"Adler, Jacob Georg Christian",8.12.1756,Amis,,6;1982,,"ADLER, Jacob Georg Christian, geb. 8.12.1756 Amis, gest. 22. 8.1834 Giekau, begr. Schleswig; ev. –Theologe, Orientalist, Generalsuperintendent.",11864386X,,,
"Adolf, Schleswig-Holstein, Herzog",5.9.1600,Schloß Gottorf,,12;2006,,"ADOLF, Herzog von Schleswig-Holstein-Gottorf, geb. 5.9.1600 Schloß Gottorf, gest. 19.9.1631 Eilenburg (Sachsen), begr. Schleswig (Dom); ev. – Offizier.",136183247,,,
"ADOLF I., Herzog von Schleswig-Holstein-Gottorf",25.1.1526,Duburg bei Flensburg,1.10.1586,6;1982,Schloß Gottorf,"ADOLF I., Herzog von Schleswig-Holstein-Gottorf, geb. 25.1.1526 Duburg bei Flensburg, gest. 1.10.1586 Schloß Gottorf; ev. – Stifter d. Gottorfer Linie d. oldenburgischen Hauses.",118812319,,,
ADOLF FRIEDRICH,14.5.1710,Schloß Gottorf,12.2.1771,11;2000,Stockholm (Schloß),"ADOLF FRIEDRICH, geb. 14.5.1710 Schloß Gottorf, gest. 12.2.1771 Stockholm (Schloß); ev. – Fürstbischof von Lübeck (1727–1750), Administrator d. Herzogtums Holstein-Gottorf (1739– 1745), König von Schweden (1751–1771).",116008652,,,
"ADSEN (auch Adgens), Jens",,,3.9.1737,1;1970,ebd.,"ADSEN (auch Adgens), Jens, geb. um 1685 auf Diedersbüll, Ksp. Horsbüll (Amt Tondern), gest. 3.9.1737 ebd., Lehns- und Deichvogt, Landwirt.",,,,
"ADSEN (Adtsen, Atzen), Laurens (latinisiert: Laurentius Addi)",,,15.3.1603,5;1979,Witzwort,"ADSEN (Adtsen, Atzen), Laurens (latinisiert: Laurentius Addi), geb. 1550/ 1551 auf der Insel Nordstrand, gest. 15.3.1603 Witzwort, Eiderstedt; ev. – Pastor, Chronist.",119601311,,,
"AEPINUS, Friedrich",,,1608,5;1979,Ratzeburg (?,"AEPINUS, Friedrich, geb. 15... Hamburg, gest. 1608 Ratzeburg (?); ev. – Kanzleisekretär, Kammersekretär.",116009241,,,
"AEREBOE, Albert Eginhard Ernst Hans",31.3.1889,Lübeck,6.8.1970,8;1987,ebd.,"AEREBOE, Albert Eginhard Ernst Hans, geb. 31.3.1889 Lübeck, gest. 6.8.1970 ebd., begr. 10.8.1970 Wenningstedt auf Sylt; ev. – Maler.",118647164,,,
"AGRICOLA, Boetius Georgius",,,1569,1;1970,Hadersleben,"AGRICOLA, Boetius Georgius, geb. Wilstrup, gest. 1569 Hadersleben; ev. – Pastor v. Wilstrup, Hofprediger Herzog Johanns d. Ä., Propst v. Hadersleben.",,,,
"AHLEFELDT, Carl Graf von",25.4.1670,Hartenburg b. Bad Dürkheim,,7;1985,,"AHLEFELDT, Carl Graf von, geb. 25.4.1670 Hartenburg b. Bad Dürkheim, gest. 7.9.1722 Gravenstein (Gråsten), begr. Tranekær, Langeland; ev. – Statthalter in den Herzogtümern.",1132282055,,,
"AHLEFELDT, Detlev von",20.2.1617,Gelting,25.11.1686,5;1979,Hamburg,"AHLEFELDT, Detlev von, geb. 20.2.1617 Gelting, Kr. Flensburg, gest. 25.11.1686 Hamburg; ev. – Amtmann, Generalkriegskommissar, Diplomat.",100008275,,,
"AHLEFELDT, Friedrich (seit 1665 Graf) von",1623,Seegaard (Søgård),,7;1985,,"AHLEFELDT, Friedrich (seit 1665 Graf) von, geb. 1623 Seegaard (Søgård), gest. 7.7.1686 Kopenhagen, begr. Tranekær, Langeland; ev. – Dänischer Großkanzler.",115466967,,,
"AHLEFELDT, Friedrich Graf von",21.4.1662,Flensburg,10.6.1708,7;1985,Regensburg,"AHLEFELDT, Friedrich Graf von, geb. 21.4.1662 Flensburg, gest. 10.6.1708 Regensburg, begr. angeblich Radsted, Lolland; ev. – General, Statthalter in den Herzogtümern.",1208535838,,,
"AHLEFELDT, Gottschalk von",1475,Bollingstedt,1541,5;1979,ebd,"AHLEFELDT, Gottschalk von, geb. 1475 Bollingstedt, gest. 1541 ebd.; – letzter kath. Bischof von Schleswig.",135776074,,,
"AHLEMANN, Georg Ludwig",6.1.1721,(1720?) Berlin,4.12.1787,2;1971,Altona,"AHLEMANN, Georg Ludwig, geb. 6.1.1721 (1720?) Berlin, gest. 4.12.1787 Altona; ev.-luth. – Kgl. dänischer Consistorialrat, Kirchenpropst.",121079104,,,
AHLMANN-FAMILIE,,,,9;1991,,AHLMANN-FAMILIE.,1029901589,,,
"AHLMANN, Johannes",18.2.1851,Fredericia,15.4.1939,9;1991,Büdelsdorf b. Rendsburg,"AHLMANN, Johannes, geb. 18.2.1851 Fredericia, gest. 15.4.1939 Büdelsdorf b. Rendsburg; ev. – Kaufmann, Fabrikant.",126466939,,,
"AHLMANN, Johann Conrad",9.10.1773,Sonderburg,6.2.1852,2;1971,ebd.,"AHLMANN, Johann Conrad, geb. 9.10.1773 Sonderburg, get. 10.10.1773, gest. 6.2.1852 ebd., begr. 13.2.1852; ev. – Bürgermeister, Hardesvogt, Justizrat.",,,,
"AHLMANN, Julius Hans",26.12.1880,Kopenhagen,3.9.1931,9;1991,Gravenstein (Gråsten),"AHLMANN, Julius Hans, geb. 26.12.1880 Kopenhagen, gest. 3.9.1931 Gravenstein (Gråsten), begr. Büdelsdorf b. Rendsburg; ev. – Kaufmann, Fabrikant.",,,,
"AHLMANN, Katharine (Käte) Aline geb. Braun",5.12.1890,Köln,15.6.1963,9;1991,Innsbruck,"AHLMANN, Katharine (Käte) Aline geb. Braun, geb. 5.12.1890 Köln, gest. 15.6.1963 Innsbruck, begr. Büdelsdorf b. Rendsburg; ev. – Fabrikantin.",104541253,,,
"AHLMANN, Ludwig",4.12.1859,Kiel,27.6.1942,1;1970,ebd.,"AHLMANN, Ludwig, geb. 4.12.1859 Kiel, gest. 27.6.1942 ebd.; ev. – Bankier.",116271167,,,
"AHLMANN, Nicolai Peter",17.11.1809,Sonderburg,,1;1970,,"AHLMANN, Nicolai Peter, geb. 17.11.1809 Sonderburg, gest. 12.2.1890 Kopenhagen (Frederiksberg); ev. – Landwirt, Politiker.",133371123,,,
"AHLMANN, Otto Friedrich",21.5.1786,Norburg,17.5.1866,9;1991,Gravenstein (Gråsten),"AHLMANN, Otto Friedrich, geb. 21.5.1786 Norburg, gest. 17.5.1866 Gravenstein (Gråsten), begr. Atzbüll (Adsbol); ev. – Kaufmann.",119388685,,,
"AHLMANN, Hans Wilhelm",13.7.1817,Gravenstein,15.9.1910,1;1970,Kiel,"AHLMANN, Hans Wilhelm, geb. 13.7.1817 Gravenstein, gest. 15.9.1910 Kiel; ev. – Bankier, Politiker, Zeitungsverleger.",115822828,,,
"AHLMANN, Hans Wilhelm",13.7.1817,Gravenstein,15.9.1910,1;1970,Kiel,"AHLMANN, Hans Wilhelm, geb. 13.7.1817 Gravenstein, gest. 15.9.1910 Kiel; ev. – Bankier, Politiker, Zeitungsverleger.",115822828,,,
"AHSBAS, Georg",18.11.1851 12.1.1766,Sommerlander Riep,5.2.1923,1;1970,ebd.,"AHSBAS, Georg, geb. 18.11.1851 Sommerlander Riep, Ksp. Süderau, gest. 5.2.1923 ebd.; ev. – Hofbesitzer, Pferde- und Rindviehzüchter. – Die Familie, auch die der Ehefrau, seit Generationen auf Höfen in der Krempermarsch ansässig, (s. Ahsbas, Jürgen geb. 12.1.1766)",,,,
